Comp.1;Comp.2;Comp.3;Comp.4;Comp.5;Comp.6;Comp.7;Comp.8;Comp.9;Comp.10;Comp.11;Comp.12
75;0.885;-0.102;0.259;-0.425;-0.126;0.043;-0.119;0.031;0.014;0.021;-0.013;0.014
76;-0.839;-0.295;0.468;-0.299;-0.015;-0.109;0.136;0.021;0.017;-0.058;0.033;0.015
77;3.571;0.997;-0.326;-0.041;-0.048;-0.016;0.013;-0.009;-0.022;-0.007;-0.014;-0.015
78;-4.33;-0.72;-0.453;0.069;0.111;-0.037;-0.082;-0.043;0.038;-0.022;0.03;0.01
79;-7.393;-0.244;-0.027;0.212;0.04;-0.046;-0.029;-0.021;-0.047;0.017;-0.005;0.002
80;-3.023;-0.434;0.038;-0.173;0.025;-0.087;-0.027;-0.006;0;0.001;0.002;-0.017
81;0.46;0.313;-0.151;-0.146;-0.054;0.044;-0.143;0.004;-0.044;-0.009;-0.02;0.002
83;3.57;-0.559;0.27;0.349;-0.125;-0.061;0.001;0.023;-0.01;-0.009;-0.013;-0.006
85;-3.247;-0.244;0.252;-0.193;-0.043;-0.066;0.012;-0.036;0.009;-0.033;0.022;-0.023
86;3.55;-0.546;-0.019;0.19;0.115;-0.078;-0.06;0.064;-0.031;-0.022;-0.019;0.006
87;3.68;-0.62;-0.264;0.202;0.112;-0.017;-0.013;0.034;-0.003;0.027;-0.007;0.013
88;-0.865;0.528;0.38;-0.162;-0.005;-0.218;0.122;0.041;0.013;0.004;-0.012;-0.006
89;1.466;-0.948;-0.307;0.078;0.03;0.053;0.141;0.06;-0.048;0.035;0.021;-0.005
90;3.276;-0.466;0.23;0.323;0.021;-0.008;-0.015;0.034;0.031;0.011;0.002;-0.011
91;-0.156;-0.269;0.118;-0.358;-0.013;0.015;-0.114;0.015;-0.039;-0.024;-0.028;0.001
93;-2.984;-0.726;-0.449;0.019;-0.356;0.028;-0.042;0.019;0.008;-0.016;-0.026;-0.007
94;3.047;0.778;-0.408;0.014;-0.051;0.023;0.016;-0.037;-0.029;0.018;0.003;0
98;2.494;0.559;0.5;-0.375;-0.083;-0.049;0.163;0.008;-0.011;0.011;-0.027;0.048
99;3.11;-0.856;-0.109;-0.064;0.213;0.081;0.138;-0.034;-0.067;-0.049;-0.006;0.028
100;1.421;0.914;-0.365;0.042;-0.283;-0.02;0.068;0.006;0.027;-0.01;-0.015;-0.012
101;-0.122;-0.372;0.155;-0.41;0.03;0.019;-0.069;0.031;-0.023;0.035;0.014;-0.011
102;-5.543;0.315;0.308;0.264;-0.112;-0.038;0.07;-0.004;0.009;0.023;-0.023;-0.001
103;-2.224;-1.08;0.048;-0.223;0.063;-0.021;-0.051;0.012;-0.025;-0.002;0.035;-0.008
105;2.774;-0.644;-0.196;-0.058;0.028;0.09;0.12;-0.039;-0.042;-0.011;0.002;0.024
106;2.549;-0.463;0.045;-0.286;-0.024;0.133;0.095;-0.015;-0.014;0.004;-0.006;0.007
107;-5.014;1.133;0.004;0.073;0.026;0.112;-0.004;0.047;-0.04;-0.024;0.002;-0.013
108;3.843;1.083;0.232;-0.097;-0.246;0.007;-0.033;-0.016;-0.031;0.033;0.014;0.003
109;-0.588;-1.089;0.12;-0.246;0.039;0.044;0.123;-0.005;-0.008;-0.021;0.009;-0.012
110;3.725;-0.332;0.722;0.541;-0.047;-0.034;-0.024;-0.115;-0.013;-0.018;-0.011;-0.028
112;-3.204;1.634;0.133;0.019;0.076;0.06;0.046;-0.023;-0.011;-0.007;-0.028;-0.023
113;3.494;-0.47;0.144;0.34;-0.044;-0.057;0.018;0.067;0.003;-0.003;-0.015;0.007
115;0.472;-1.094;-0.068;-0.256;0.026;0.144;-0.002;-0.062;0.054;0.014;-0.028;0.006
116;2.881;1.361;-0.338;-0.047;-0.191;-0.066;0.009;-0.003;-0.039;0.002;-0.035;-0.012
118;2.567;0.771;-0.353;0.027;-0.074;-0.018;-0.025;-0.021;-0.008;-0.025;0;0.007
121;0.478;0.081;0.16;-0.408;-0.047;-0.019;-0.088;0.023;0.023;-0.014;-0.038;-0.015
122;2.126;0.822;-0.51;0.001;-0.063;-0.035;-0.014;0.03;0.031;-0.003;0.005;-0.007
123;-3.644;1.613;0.507;0.262;0.126;0.055;0.028;0.002;0.041;-0.02;-0.039;0.007
124;-6.154;0.93;-0.251;0.107;0.021;0.149;-0.006;0.04;-0.035;-0.031;-0.013;-0.023
127;4.137;-0.371;0.534;0.139;-0.122;0.122;-0.112;0.083;0.027;0.008;0.034;0.019
128;-10.415;-1.88;-0.402;0.409;0.025;-0.038;-0.038;0.014;-0.021;0.042;-0.062;-0.009
129;-4.16;-0.267;0.358;-0.177;-0.08;-0.059;-0.01;-0.004;0.013;-0.049;0.022;0.019
130;-2.274;1.862;0.624;0.213;0.085;0.019;0.056;-0.014;0.021;0.051;0.015;0.023
131;-3.147;-0.02;-0.322;0.029;0.115;-0.087;-0.057;-0.067;-0.022;0.045;0.031;0.018
132;3.527;-0.013;0.488;0.522;0.155;0.024;-0.008;-0.071;0.048;-0.03;0.004;-0.032
